一丁不识|yī dīng bù shí
一丁点儿|yī dīng diǎn ér
一丁至微|yī dīng zhì wēi
一不作，二不休|yī bù zuò，èr bù xiū
一不做，二不休|yī bū zuò，èr bù xiū
一不压众，百不随一|yī bù yā zhòng，bǎi bù suí yī
一不扭众|yī bù niǔ zhòng
一不拗众|yī bù niù zhòng
一世两清|yī shì liǎng qīng
一世之利|yī shì zhī lì
一世之雄|yī shì zhī xióng
一世师表|yī shì shī biǎo
一世龙门|yī shì lóng mén
一丘一壑|yī qiū yī hè
一丘之貉|yī qiū zhī hè
一丘壑|yī qiū hè
一丘貉|yī qiū hé
一东一西|yī dōng yī xī
一丝一毫|yī sī yī háo
一丝不乱|yī sī bù luàn
一丝不挂|yī sī bù guà
一丝不紊|yī sī bù wěn
一丝不线，单木不林|yī sī bù xiàn，dān mù bù lín
一丝不苟|yī sī bù gǒu
一丝不走|yī sī bù zǒu
一丝两气|yī sī liǎng qì
一丝半粟|yī sī bàn sù
一丝半缕|yī sī bàn lǚ
一丝没两气|yī sī méi liǎng qì
一个半个|yī gè bàn gè
一个巴掌拍不响|yī gè bā zhǎng pāi bù xiǎng
一个心眼|yī gè xīn yǎn
一个萝卜一个坑|yī gè luó bo yī gè kēng
一串骊珠|yī chuàn lí zhū
一丸可封|yī wán kě fēng
一丸泥封函谷关|yī wán ní fēng hán gǔ guān
一举一动|yī jǔ yī dòng
一举万里|yī jǔ wàn lǐ
一举三反|yī jǔ sān fǎn
一举两便|yī jǔ liǎng biàn
一举两全|yī jǔ liǎng quán
一举两利|yī jǔ liǎng lì
一举两失|yī jǔ liǎng shī
一举两得|yī jǔ liǎng dé
一举千里|yī jǔ qiān lǐ
一举成名|yī jǔ chéng míng
一举成名天下知|yī jǔ chéng míng tiān xià zhī
一举成名天下闻|yī jǔ chéng míng tiān xià wén
一举手之劳|yī jǔ shǒu zhī láo
一举手力|yī jǔ shǒu lì
一之为甚|yī zhī wéi shèn
一之已甚|yī zhī yǐ shèn
一之谓甚|yī zhī wèi shèn
一乱涂地|yī luàn tú dì
一了千明|yī liǎo qiān míng
一了百了|yī liǎo bǎi liǎo
一了百当|yī liǎo bǎi dàng
一予一夺|yī yǔ yī duó
一事不知|yī shì bù zhī
一事无成|yī shì wú chéng
一事未成|yī shì wèi chéng
一二其详|yī èr qí xiáng
一五一十|yī wú yī shí
一些半些|yī xiē bàn xiē
一人不敌众人智|yī rén bù dí zhòng rén zhì
一人之下，万人之上|yī rén zhī xià，wàn rén zhī shàng
一人之交|yī rén zhī jiāo
一人之心，千万人之心也|yī rén zhī xīn,qiān wàn rén zhī xīn yě
一人传十，十人传百|yī rén chuán shí，shí rén chuán bǎi
一人传虚，万人传实|yī rén chuán xū，shí rén chuán shí
一人做事一人当|yī rén zuò shì yī rén dāng
一人元良|yī rén yuán liáng
一人吃斋，十人念佛|yī rén chī zhāi，shí rén niàn fó
一人向隅|yī rén xiàng yú
一人向隅，一堂不欢|yī rén xiàng yú，yī táng bù huān
一人向隅，满坐不乐|yī rén xiàng yú，mǎn zuò bù lè
一人向隅，满堂不乐|yī rén xiàng yú，mǎn táng bù lè
一人善射，百夫决拾|yī rén shàn shè，bǎi fū jué shí
一人当百|yī rén dāng bǎi
一人得道，九族升天|yī rén dé dào，jiǔ zú shēng tiān
一人得道，鸡犬升天|yī rén dé dào，jī quǎn shēng tiān
一人得道，鸡犬飞升|yī rén dé dào，jī quǎn fēi shēng
一人拼命，万夫莫当|yī rén pīn mìng，wàn fū mò dāng
一人拼命，万夫难当|yī rén pīn mìng，wàn fū nán dāng
一人敌|yī rén dí
一人有庆|yī rén yǒu qìng
一人有福，带挈一屋|yī rén yǒu fú，dài qiè yī wū
一人有福，拖带满屋|yī rén yǒu fú，tuō dài mǎn wū
一人有罪|yī rén yǒu zuì
一人毁誉|yī rén huǐ yù
一人私言|yī rén sī yán
一人立志，万夫莫夺|yī rén lì zhì，wàn fū mò duó
一人耳目|yī rén ěr mù
一人飞升，仙及鸡犬|yī rén fēi shēng，xiān jí jī quǎn
一人高升，众人得济|yī rén gāo shēng，zhòng rén dé jì
一介不取|yī jiè bù qǔ
一介不苟|yī jiè bù gǒu
一介之善|yī jiè zhī shàn
一介之士|yī jiè zhī shì
一介之夫|yī jiè zhī fū
一介之才|yī jiè zhī cái
一介之辅|yī jiè zhī fǔ
一介书生|yī jiè shū shēng
一介儒生|yī jiè rú shēng
一介武夫|yī jiè wǔ fū
一介野生|yī jiè yě shēng
一仍旧贯|yī réng jiù guàn
一代不如一代|yī dài bù rú yī dài
一代儒宗|yī dài rú zōng
一代国色|yī dài guó sè
一代宗匠|yī dài zōng jiàng
一代宗工|yī dài zōng gōng
一代宗臣|yī dài zōng chén
一代文宗|yī dài wén zōng
一代文豪|yī dài wén háo
一代楷模|yī dài kǎi mó
一代谈宗|yī dài tán zōng
一代辞宗|yī dài cí zōng
一代风流|yī dài fēng liú
一代风骚主|yī dài fēng sāo zhǔ
一代鼎臣|yī dài dǐng chén
一以当十|yī yǐ dāng shí
一以当千|yī yǐ dāng qiān
一以当百|yī yǐ dāng bǎi
一以贯之|yī yǐ guàn zhī
一传十，十传百|yī chuán shí，shí chuán bǎi
一体同心|yī tǐ tóng xīn
一体知悉|yī tǐ zhī xī
一体知照|yī tǐ zhī zhào
一何至此|yī hé zhì cǐ
一佛出世|yī fó chū shì
一佛出世，二佛升天|yī fó chū shì，èr fó shēng tiān
一佛出世，二佛涅槃|yī fó chū shì，èr fó niè pán
一佛出世，二佛涅盘|yī fó chū shì，èr fó niè pán
一佛出世，二佛生天|yī fó chū shì，èr fó shēng tiān
一佛升天，二佛出世|yī fó shēng tiān，èr fó chū shì
一依旧式|yī yī jiù shì
一倡一和|yī chàng yī hé
一倡三叹|yī chàng sān tàn
一倡百和|yī chàng bǎi hè
一假手之劳|yī jiǎ shǒu zhī láo
一偏之见|yī piān zhī jiàn
一偏之言|yī piān zhī yán
一偏之论|yī piān zhī lùn
一傅众咻|yī fù zhòng xiū
一元复始|yī yuán fù shǐ
一元大武|yī yuán dà wǔ
一再则宥，三则不赦|yī zài zé yòu，sān zé bù shè
一决胜负|yī jué shèng fù
一决雌雄|yī jué cí xióng
一击即溃|yī jī jí kuì
一刀两断|yī dāo liǎng duàn
一刀两段|yī dāo liǎng duàn
一刀切|yī dāo qiē
一分一厘|yī fēn yī lí
一分一毫|yī fēn yī háo
一分为二|yī fēn wéi èr
一分耕耘，一分收获|yī fēn gēng yún，yī fēn shōu huò
一切万物|yī qiē wàn wù
一切之权|yī qiè zhī quán
一切众生|yī qiè zhòng shēng
一切有情|yī qiè yǒu qíng
一则一，二则二|yī zé yī，èr zé èr
一则以喜，一则以惧|yī zé yǐ xǐ，yī zé yǐ jù
一别如雨|yī bié rú yǔ
一刹那|yī chà nà
一刹那间|yī chà nà jiān
一刻千金|yī kè qiān jīn
一剑之任|yī jiàn zhī rèn
一副急泪|yī fù jí lèi
一力吹嘘|yī lì chuī xū
一力当先|yī lì dāng xiān
一力承当|yī lì chéng dāng
一力承担|yī lì chéng dān
一力担当|yī lì dān dāng
一力拒守|yī lì jù shǒu
一力撺掇|yī lì cuān duō
一力降十会|yī lì xiáng shí huì
一动不动|yī dòng bù dòng
一动不如一静|yī dòng bù rú yī jìng
一劳久逸|yī láo jiǔ yì
一劳永逸|yī láo yǒng yì
一勇之夫|yī yǒng zhī fū
一化齐俗|yī huā qí sú
一匡九合|yī kuāng jiǔ hé
一匡天下|yī kuāng tiān xià
一十八层地狱|yī shí bā céng dì yù
一十八般兵器|yī shí bā bān bīng qì
一十八般武艺|yī shí bā bān wǔ yì
一卒之令|yī zú zhī lìng
一卒之田|yī zú zhī tián
一卧不起|yī wò bù qǐ
一厘一毫|yī lí yī háo
一厢情原|yī xiāng qíng yuán
一厢情愿|yī xiāng qíng yuàn
一去不复返|yī qù bù fù fǎn
一去不复还|yī qù bù fù huán
一去不返|yī qù bù fǎn
一去不还|yī qù bù huán
一双两好|yī shuāng liǎng hǎo
一双两美|yī shuāng liǎng měi
一反其道|yī fǎn qí dào
一反常态|yī fǎn cháng tài
一反既往|yī fǎn jì wǎng
一发不可收拾|yī fā ér bù shōu shí
一发千钧|yī fà qiān jūn
一发双贯|yī fā shuāng guàn
一发破的|yī fā pò dì
一发而不可收|yī fā ér bù kě shōu
一发而不可收拾|yī fā ér bù kě shōu shí
一叠连声|yī dié lián shēng
一口一声|yī kǒu yī shēng
一口三舌|yī kǒu sān shé
一口不能著两匙|yī kǒu bù néng zhuó liǎng chí
一口两匙|yī kǒu liǎng chí
一口吃个胖子|yī kǒu chī gè pàng zi
一口同声|yī kǒu tóng shēng
一口同音|yī kǒu tóng yīn
一口吸尽西江水|yī kǒu xī jìn xī jiāng shuǐ
一口咬定|yī kǒu yǎo dìng
一口所敌|yī kǒu suǒ dí
一口道破|yī kǒu dào pò
一口颂歌|yī kǒu sòng gē
一古脑儿|yī gǔ nǎo er
一句撞倒墙|yī jù zhuàng dǎo qiáng
一台二妙|yī tái èr miào
一叶两豆|yī yè liǎng dòu
一叶扁舟|yī yè piān zhōu
一叶报秋|yī yè bào qiū
一叶知秋|yī yè zhī qiū
一叶落知天下秋|yī yè luò zhī tiān xià qiū
一叶蔽目，不见泰山|yī yè bì mù，bù jiàn tài shān
一叶迷山|yī yè mí shān
一叶障目|yī yè zhàng mù
一叶障目，不见泰山|yī yè zhàng mù，bù jiàn tài shān
一吐为快|yī tǔ wéi kuài
一吟一咏|yī yīn yī yǒng
一吠百声|yī fèi bǎi shēng
一吹一唱|yī chuī yī chàng
一呵而就|yī hē ér jiù
一呼三颠|yī hū sān diān
一呼再喏|yī hū zài nuò
一呼即集|yī hū jí jí
一呼百和|yī hū bǎi hè
一呼百应|yī hū bǎi yìng
一呼百诺|yī hū bǎi nuò
一呼而集|yī hū ér jí
一命之荣|yī mìng zhī róng
